First air date;Series;Episode;Players;Chaser;Won head-to-head;Amount banked;Target;Pushforwards;Result;PushbacksOffered;PushbacksTaken;Accuracy;Speed
29/06/2009;1;1;Lisa, Ian, Claire, Driss;Mark Labbett;2;£20,200;18;0;Chaser by 0:07;7;3;75%;14.87
30/06/2009;1;2;Bradley, Christine, Foiz, Jill;Shaun Wallace;3;£36,000;20;0;Chaser by 0:02;5;2;81%;13.73
01/07/2009;1;3;Lynn, Paul, Liz, Ray;Mark Labbett;4;£12,400;22;0;Chaser by 0:08;3;2;86%;15.00
02/07/2009;1;4;Mike, Sally, Ciaran, Bette;Shaun Wallace;3;£16,500;20;0;Team by 6;8;5;70%;13.50
03/07/2009;1;5;Allan, Lisa, Phil, Emma;Shaun Wallace;2;£16,000;14;0;Chaser by 0:24;2;1;88%;10.63
06/07/2009;1;6;Gail, Ed, Kevin, Elisabeth;Mark Labbett;3;£12,000;20;0;Team by 1;4;2;84%;12.50
07/07/2009;1;7;Alison, Gareth, Oliver, Victoria;Mark Labbett;0;£4,000;19;0;Chaser by 0:05;6;1;77%;13.57
08/07/2009;1;8;Kay, James, Julia, Cornelius;Shaun Wallace;2;£22,000;24;0;Team by 2;2;2;92%;13.00
09/07/2009;1;9;Michelle, James, Paul, Jenni;Shaun Wallace;2;£17,000;17;0;Chaser by 0:34;1;0;94%;12.56
10/07/2009;1;10;Chris, Wendy, Malcolm, Jackie;Mark Labbett;3;£21,000;12;0;Chaser by 0:47;2;1;87%;12.33
24/05/2010;2;1;Matthew, Angela, Les, Rebecca;Shaun Wallace;3;£16,000;19;0;Chaser by 0:17;4;2;84%;14.56
25/05/2010;2;2;Roger, David, Clare, Adrian;Mark Labbett;4;£28,000;23;0;Chaser by 0:10;3;2;89%;15.27
26/05/2010;2;3;Richard, Martin, Wendy, Helen;Mark Labbett;2;£18,000;14;0;Chaser by 0:35;3;1;83%;12.71
27/05/2010;2;4;Olivia, Gareth, Jo, Chris;Shaun Wallace;4;£19,000;25;0;Team by 2;5;3;84%;15.50
28/05/2010;2;5;Howard, Sarah, Neil, Gillian;Anne Hegerty;2;£15,000;21;0;Chaser by 0:22;2;0;91%;14.08
31/05/2010;2;6;George, Jo, Terry, Callum;Mark Labbett;2;£20,500;22;0;Team by 6;6;6;79%;14.00
01/06/2010;2;7;Mike, Carole, Robbie, Wendy;Anne Hegerty;3;£31,000;21;0;Chaser by 0:19;3;0;88%;14.26
02/06/2010;2;8;Emma, Peter, Hilda, Mark;Shaun Wallace;3;£20,000;22;0;Chaser by 0:01;4;3;86%;14.62
03/06/2010;2;9;Margaret, Dave, Lisa, Phenton;Mark Labbett;2;£5,200;14;0;Chaser by 0:33;4;2;80%;13.79
04/06/2010;2;10;Wendy, Karen, Campbell, Bill;Anne Hegerty;4;£18,400;21;0;Team by 4;7;4;72%;14.50
07/06/2010;2;11;Susan, Trevor, Dave, Ailsa;Shaun Wallace;3;£22,000;14;0;Chaser by 0:30;1;1;88%;11.33
08/06/2010;2;12;Andrew, Christine, David, Emma;Mark Labbett;2;£22,000;26;0;Chaser by 0:03;0;0;100%;13.33
09/06/2010;2;13;Dean, Diarmid, Hazel, Alex;Anne Hegerty;1;£5,000;8;0;Chaser by 1:27;0;0;100%;14.55
10/06/2010;2;14;Caroline, Anthony, Alison, Jon;Mark Labbett;3;£22,000;22;0;Team by 1;6;6;82%;16.50
11/06/2010;2;15;Bernie, Frances-Anne, Shaun, Ali;Mark Labbett;1;£4,000;15;0;Chaser by 0:56;2;0;88%;15.94
14/06/2010;2;16;Jill, Asha, Paul, Matt;Shaun Wallace;1;£7,000;16;0;Chaser by 0:37;2;2;90%;14.46
15/06/2010;2;17;Paul, Liz, Rupert, Morris;Mark Labbett;2;£14,000;23;0;Chaser by 0:09;4;3;87%;16.22
16/06/2010;2;18;Lyn, Peter, Sarah, James;Anne Hegerty;1;£24,000;18;0;Chaser by 0:38;2;0;90%;14.63
17/06/2010;2;19;Steve, Kate, Neil, Angela;Mark Labbett;2;£16,000;28;0;Team by 1;6;3;83%;18.00
18/06/2010;2;20;Jennifer, Doug, Gaetana, Gwilym;Shaun Wallace;3;£38,000;14;0;Chaser by 0:41;3;3;85%;15.19
21/06/2010;2;21;Aaron, Vicki, Cyril, Ross;Anne Hegerty;3;£16,000;18;0;Chaser by 0:28;5;3;81%;16.96
22/06/2010;2;22;Jo, Pat, Jane, Alan;Mark Labbett;3;£24,000;24;0;Team by 1;6;3;79%;16.50
23/06/2010;2;23;Martin, Rosie, Sarah, Rob;Shaun Wallace;1;£7,000;21;0;Chaser by 0:00;5;3;83%;14.50
24/06/2010;2;24;John, Adam, Cathy, Julie;Anne Hegerty;3;£34,000;24;0;Team by 1;7;4;79%;17.00
25/06/2010;2;25;Geoff, Danni, Jane, John;Shaun Wallace;4;£20,000;23;0;Chaser by 0:22;2;1;92%;15.92
28/06/2010;2;26;Trudy, Philip, Angela, Carl;Shaun Wallace;2;£15,000;24;0;Team by 2;2;2;92%;13.00
30/06/2010;2;28;Wanda, Hemal, Neil, Martin;Mark Labbett;3;£7,000;21;0;Team by 3;6;5;74%;15.50
01/07/2010;2;29;Lisa, Dan, Phil, Mark;Shaun Wallace;2;£8,800;18;0;Chaser by 0:41;1;0;95%;14.43
02/07/2010;2;30;Pete, Louise, Andrew, Caroline;Mark Labbett;1;£5,000;15;0;Chaser by 0:56;2;0;88%;15.94
